Date,High,Low,Summary
24-06-21,35.0,26.0,Thundery showers and a gentle breeze
24-06-22,35.0,26.0,Thundery showers and a gentle breeze
24-06-23,35.0,26.0,Thundery showers and a gentle breeze
24-06-24,35.0,27.0,Thundery showers and a gentle breeze
24-06-25,34.0,27.0,Thundery showers and a moderate breeze
24-06-26,34.0,27.0,Thundery showers and a moderate breeze
24-06-27,35.0,27.0,Thundery showers and a moderate breeze
24-06-28,35.0,26.0,Sunny intervals and a moderate breeze
24-06-29,35.0,26.0,Thundery showers and a gentle breeze
24-06-30,35.0,27.0,Light rain and a gentle breeze
24-07-01,33.0,27.0,Drizzle and a gentle breeze
24-07-02,33.0,26.0,Thundery showers and a gentle breeze
24-07-03,34.0,26.0,Thundery showers and a gentle breeze
